species_ID,Group,Order,Family,Genus,Species,subspecies,scientificName,variety,common_name,native_exotic,continent_of_origin,itis_tsn
2827,Crustaceans-Amphipods,Corophiidea,Corophiinae,Paracorophium,lucasi,NULL,Paracorophium lucasi,NULL,a New Zealand amphipod,Exotic,Southwest Pacific,NULL
2828,Crustaceans-Amphipods,Corophiidea,Corophiinae,Paracorophium,sp.,NULL,Paracorophium sp.,NULL,an amphipod,Exotic,Southwest Pacific,NULL
2921,Crustaceans-Amphipods,Amphipoda,Gammaridae,Gammarus,sp.,NULL,Gammarus sp.,NULL,,Native,North America,93773
2621,Crustaceans-Barnacles,Sessilia,Balanidae,Megabalanus,coccopoma,,Megabalanus coccopoma,,Titan acorn barnacle,Exotic,Pacific Ocean,656268
161,Crustaceans-Cladocerans,Diplostraca,Bosminidae,Bosmina,coregoni,NULL,Bosmina coregoni,NULL,water flea,Exotic,Europe,83952
162,Crustaceans-Cladocerans,Diplostraca,Cercopagidae,Bythotrephes,longimanus,,Bythotrephes longimanus,,spiny waterflea,Exotic,Europe,684624
163,Crustaceans-Cladocerans,Diplostraca,Cercopagidae,Cercopagis,pengoi,NULL,Cercopagis pengoi,NULL,fishhook waterflea,Exotic,Asia,684625
164,Crustaceans-Cladocerans,Diplostraca,Daphnidae,Daphnia,lumholtzi,NULL,Daphnia lumholtzi,NULL,a waterflea,Exotic,AustralAsia,684652
2370,Crustaceans-Cladocerans,Diplostraca,Bosminidae,Eubosmina,maritima,NULL,Eubosmina maritima,NULL,a cladoceran,Exotic,Eurasia,684675
2563,Crustaceans-Cladocerans,Diplostraca,Daphniidae,Daphnia,longispina,NULL,Daphnia longispina,NULL,a waterflea,Exotic,Europe,83875
2648,Crustaceans-Cladocerans,Diplostraca,Sididae,Diaphanosoma,fluviatile,NULL,Diaphanosoma fluviatile,NULL,a cladoceran,Exotic,South and Central America,83843
2649,Crustaceans-Cladocerans,Diplostraca,Sididae,Diaphanosoma,brevireme,NULL,Diaphanosoma brevireme,NULL,a cladoceran,Exotic,South and Central America,83854
2732,Crustaceans-Cladocerans,Diplostraca,Daphniidae,Daphnia,galeata,galeata,Daphnia galeata galeata,NULL,waterflea,Exotic,Eurasia,83878
2876,Crustaceans-Cladocerans,Diplostraca,Daphniidae,Daphnia,curvirostris,NULL,Daphnia curvirostris,NULL,a water flea,Exotic,Eurasia,684664
166,Crustaceans-Copepods,Arguloida,Argulidae,Argulus,japonicus,NULL,Argulus japonicus,NULL,Japanese fishlouse,Exotic,Asia,206252
168,Crustaceans-Copepods,Calanoida,Centropagidae,Sinocalanus,doerri,NULL,Sinocalanus doerri,NULL,Asian calanoid copepod,Exotic,Asia,666916
169,Crustaceans-Copepods,Diaptomidae,Diaptomidae,Skistodiaptomus,pallidus,NULL,Skistodiaptomus pallidus,NULL,calanoid copepod,Native,North America,666978
171,Crustaceans-Copepods,Cyclopoida,Oithonidae,Limnoithona,sinensis,NULL,Limnoithona sinensis,NULL,Asian copepod,Exotic,Asia,667197
172,Crustaceans-Copepods,Cyclopoida,Oithonidae,Limnoithona,tetraspina,NULL,Limnoithona tetraspina,NULL,a copepod,Exotic,Asia,667198
175,Crustaceans-Copepods,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,NULL,Pseudodiaptomus forbesi,NULL,a calanoid copepod,Exotic,Asia,666993
178,Crustaceans-Copepods,Calanoida,Temoridae,Eurytemora,affinis,NULL,Eurytemora affinis,NULL,a calanoid copepod,Native,North America,85863
2371,Crustaceans-Copepods,Harpacticoida,Canthocamptidae,Heteropsyllus,nunni,,Heteropsyllus nunni,,a copepod,Native,North America,87538
2372,Crustaceans-Copepods,Harpacticoida,Ameiridae,Nitokra,hibernica,NULL,Nitokra hibernica,NULL,a harpacticoid copepod,Exotic,Eurasia,667882
2373,Crustaceans-Copepods,Harpacticoida,Ameiridae,Nitokra,incerta,NULL,Nitokra incerta,NULL,a harpacticoid copepod,Exotic,Eurasia,667883
2374,Crustaceans-Copepods,Harpacticoida,Diosaccidae,Schizopera,borutzkyi,NULL,Schizopera borutzkyi,NULL,oarsman,Exotic,Europe,87845
2595,Crustaceans-Copepods,Poecilostomatoida,Ergasilidae,Neoergasilus,japonicus,NULL,Neoergasilus japonicus,NULL,a parasitic copepod,Exotic,Asia,667492
2659,Crustaceans-Copepods,Harpacticoida,Canthocamptidae,Heteropsyllus,nr nunni,,Heteropsyllus nr nunni,,a copepod,Unknown,Unknown,NULL
2711,Crustaceans-Copepods,Cyclopoida,Cyclopidae,Cyclops,strenuus,NULL,Cyclops strenuus,NULL,Copepod,Native,North America,88687
2716,Crustaceans-Copepods,Siphonostomatoida,Lernaeopodidae,Salmincola,lotae,NULL,Salmincola lotae,NULL,parasitic copepod,Cryptogenic,Eurasia,NULL
2723,Crustaceans-Copepods,Cyclopoida,Cyclopidae,Megacyclops,viridis,NULL,Megacyclops viridis,NULL,Cyclopoid copepod,Exotic,Europe,88754
2750,Crustaceans-Copepods,Harpacticoida ,Tachidiidae,Tachidius,triangularis,NULL,Tachidius triangularis,NULL,a copepod,Exotic,Asia,86558
2755,Crustaceans-Copepods, Harpacticoida,Harpacticidae,Harpacticella,paradoxa,NULL,Harpacticella paradoxa,NULL,harpacticoid copepod,Exotic,Asia,86396
2756,Crustaceans-Copepods, Amphipoda,Crangonyctidae,Crangonyx,floridanus,NULL,Crangonyx floridanus,NULL," Florida crangonyctid, a freshwater amphipod",Native,North America,193516
2772,Crustaceans-Copepods,Harpacticoida,Canthocamptidae,Elaphoidella,bidens,bidens,Elaphoidella bidens bidens,NULL,a copepod,Exotic,Eurasia,668149
2790,Crustaceans-Copepods,Cyclopoida,Cyclopidae,Bryocyclops,muscicola,NULL,Bryocyclops muscicola,NULL,a copepod,Exotic,Asia,667137
2791,Crustaceans-Copepods,Cyclopoida,Cyclopidae,Paracyclops,bromeliacola,NULL,Paracyclops bromeliacola,NULL,a copepod,Exotic,South America,NULL
2792,Crustaceans-Copepods,Cyclopoida,Cyclopidae,Apocyclops,dengizicus,NULL,Apocyclops dengizicus,NULL,,Exotic,Asia,667134
